pickup,delivery,distance,D,F,R,weight,date,mes,market_index,quote_signal
2384.808275,2360.475293,274.3,1,0,0,30658,1,1,0.95684,2.39595
2384.808275,2417.105175,280.5,0,0,1,17555,1,1,0.97623,2.43355
2417.105175,2347.421012,967.8,1,0,0,31721,1,1,1.00971,1.84491
2341.754674,2363.517172,965.4,1,0,0,32333,1,1,0.94518,1.87712
2286.313212,2405.630936,541.9,0,0,1,35183,1,1,0.9848,2.563
2415.371339,2421.419866,1396.4,0,1,0,17018,1,1,0.95167,1.92983
2340.208547,2360.343076,1502.6,1,0,0,19112,1,1,0.95696,1.82074
2362.030533,2381.275964,1976.9,1,0,0,29169,1,1,0.97818,1.7843
2363.220922,2337.423269,2027.7,1,0,0,35018,1,1,0.96534,1.79522
2437.607814,2415.371339,717.1,0,1,0,34671,1,1,0.98475,2.17079
2362.895358,2340.208547,2766.6,1,0,0,28651,1,1,0.92945,1.72804
2384.808275,2364.243526,549,0,1,0,26738,1,1,0.97136,2.2189
2286.313212,2278.068216,1085.1,1,0,0,46974,1,1,1.012,2.11614
2324.758747,2319.611823,1145.3,1,0,0,37985,1,1,0.98329,1.92512
2405.630936,2363.517172,145.6,1,0,0,37475,1,1,0.94244,2.70409
2372.242708,2435.24564,575.8,1,0,0,31412,1,1,0.93148,2.02239
2371.33693,2287.469184,1755.3,0,0,1,23493,1,1,0.96873,1.98336
2415.590078,2363.220922,1706,1,0,0,40439,1,1,0.99368,1.88236
2373.978362,2437.607814,698.5,1,0,0,31643,1,1,0.99684,2.06177
2405.200865,2360.343076,108.2,1,0,0,32629,1,1,0.9355,2.79934
2371.441718,2422.435157,158,1,0,0,39459,1,1,0.95736,2.67125
2384.808275,2379.670669,1558.9,1,0,0,29423,1,1,0.93608,1.80988
2405.630936,2364.243526,262.8,1,0,0,26525,1,1,0.94602,2.34816
2422.435157,2324.758747,448.9,0,1,0,34499,1,1,0.96703,2.32362
2319.611823,2399.973752,521.5,0,1,0,35656,1,1,0.96458,2.26927
2363.517172,2360.475293,934.2,1,0,0,34631,1,1,0.92552,1.89156
2362.895358,2331.999937,1634.9,1,0,0,29903,1,1,0.97422,1.79577
2379.670669,2415.590078,446.4,0,1,0,26877,1,1,0.9559,2.39227
2364.243526,2421.419866,1001.4,1,0,0,41701,1,1,0.97068,2.03186
2340.208547,2437.607814,735.4,1,0,0,21847,1,1,0.95146,1.8929
2400.164778,2381.275964,1884.4,0,1,0,13936,1,1,0.92938,1.85496
2376.175448,2381.275964,1367.9,0,1,0,40312,1,1,0.96037,2.05509
2391.87245,2287.469184,944.9,1,0,0,46853,1,1,0.91635,2.04256
2341.754674,2435.651745,839.5,1,0,0,24666,1,1,0.98045,1.84874
2278.068216,2287.469184,1256,0,0,1,30848,1,1,0.97089,2.16484
2345.88247,2341.754674,334.1,0,1,0,34583,1,1,0.96019,2.44821
2352.858014,2347.421012,1379.2,1,0,0,21636,1,1,0.9765,1.78056
2341.754674,2437.607814,2442.7,0,0,1,31363,1,1,0.94653,1.99917
2347.421012,2363.220922,2021.3,0,0,1,32812,1,1,0.92008,1.9493
2372.392688,2371.441718,172.7,1,0,0,31783,1,1,0.95,2.60873
2287.469184,2278.068216,1222.2,0,1,0,25307,1,1,0.96151,2.03905
2352.858014,2422.435157,1213.7,1,0,0,20944,1,1,0.96943,1.87873
2362.030533,2368.143591,3112,1,0,0,35002,1,1,0.98359,1.66979
2287.469184,2352.858014,860.9,0,1,0,32386,1,1,0.98031,2.19706
2287.469184,2337.423269,485.1,0,1,0,27962,1,1,0.94939,2.27353
2405.630936,2362.895358,732.4,1,0,0,42826,1,1,0.9817,2.07592
2381.275964,2330.555271,1660.7,1,0,0,20285,1,1,0.99184,1.74529
2319.611823,2341.754674,391.5,0,0,1,25462,1,1,0.99683,2.32544
