pickup,delivery,distance,D,F,R,weight,market_index,quote_signal
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
2364.243526,2343.268614,360,1,0,0,32000,,
