pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,01/12/2025,850.74347
Lexington,Fort Wayne,360,Dry Van,32000,02/12/2025,852.525
Lexington,Fort Wayne,360,Dry Van,32000,03/12/2025,850.7866
Lexington,Fort Wayne,360,Dry Van,32000,04/12/2025,848.9701
Lexington,Fort Wayne,360,Dry Van,32000,05/12/2025,849.86285
Lexington,Fort Wayne,360,Dry Van,32000,06/12/2025,850.2185
Lexington,Fort Wayne,360,Dry Van,32000,07/12/2025,853.3211
Lexington,Fort Wayne,360,Dry Van,32000,08/12/2025,855.04126
Lexington,Fort Wayne,360,Dry Van,32000,09/12/2025,856.9153
Lexington,Fort Wayne,360,Dry Van,32000,10/12/2025,855.569
Lexington,Fort Wayne,360,Dry Van,32000,11/12/2025,852.3258
Lexington,Fort Wayne,360,Dry Van,32000,12/12/2025,849.52295
Lexington,Fort Wayne,360,Dry Van,32000,13/12/2025,850.4144
Lexington,Fort Wayne,360,Dry Van,32000,14/12/2025,850.6139
Lexington,Fort Wayne,360,Dry Van,32000,15/12/2025,850.70886
Lexington,Fort Wayne,360,Dry Van,32000,16/12/2025,853.8865
Lexington,Fort Wayne,360,Dry Van,32000,17/12/2025,852.75616
Lexington,Fort Wayne,360,Dry Van,32000,18/12/2025,851.9196
Lexington,Fort Wayne,360,Dry Van,32000,19/12/2025,851.0808
Lexington,Fort Wayne,360,Dry Van,32000,20/12/2025,849.6578
Lexington,Fort Wayne,360,Dry Van,32000,21/12/2025,851.0377
Lexington,Fort Wayne,360,Dry Van,32000,22/12/2025,850.2268
Lexington,Fort Wayne,360,Dry Van,32000,23/12/2025,850.26404
Lexington,Fort Wayne,360,Dry Van,32000,24/12/2025,849.96014
Lexington,Fort Wayne,360,Dry Van,32000,25/12/2025,849.5251
Lexington,Fort Wayne,360,Dry Van,32000,26/12/2025,849.5104
Lexington,Fort Wayne,360,Dry Van,32000,27/12/2025,849.18054
Lexington,Fort Wayne,360,Dry Van,32000,28/12/2025,850.3443
Lexington,Fort Wayne,360,Dry Van,32000,29/12/2025,851.2245
Lexington,Fort Wayne,360,Dry Van,32000,30/12/2025,853.41113
Lexington,Fort Wayne,360,Dry Van,32000,31/12/2025,855.016
