load_id,pickup,delivery,distance,D,F,R,weight,market_index,quote_signal,posted_rate
TR-000001,2384.81,2360.48,274.3,1,0,0,30658,0.95684,2.39595,645.41
TR-000002,2384.81,2417.11,280.5,0,0,1,17555,0.97623,2.43355,679.97
TR-000003,2417.11,2347.42,967.8,1,0,0,31721,1.00971,1.84491,1802.54
TR-000004,2341.75,2363.52,965.4,1,0,0,32333,0.94518,1.87712,1827.28
TR-000005,2286.31,2405.63,541.9,0,0,1,35183,0.9848,2.563,1380.28
TR-000006,2415.37,2421.42,1396.4,0,1,0,17018,0.95167,1.92983,2676.98
TR-000007,2340.21,2360.34,1502.6,1,0,0,19112,0.95696,1.82074,2718.54
TR-000008,2362.03,2381.28,1976.9,1,0,0,29169,0.97818,1.7843,3522.92
TR-000009,2363.22,2337.42,2027.7,1,0,0,35018,0.96534,1.79522,3675.27
TR-000010,2437.61,2415.37,717.1,0,1,0,34671,0.98475,2.17079,1578.83
TR-000011,2362.9,2340.21,2766.6,1,0,0,28651,0.92945,1.72804,4744.15
TR-000012,2384.81,2364.24,549,0,1,0,26738,0.97136,2.2189,1207.88
TR-000013,2286.31,2278.07,1085.1,1,0,0,46974,1.012,2.11614,2277.79
TR-000014,2324.76,2319.61,1145.3,1,0,0,37985,0.98329,1.92512,2229.54
TR-000015,2405.63,2363.52,145.6,1,0,0,37475,0.94244,2.70409,395.09
TR-000016,2372.24,2435.25,575.8,1,0,0,31412,0.93148,2.02239,1165.8
TR-000017,2371.34,2287.47,1755.3,0,0,1,23493,0.96873,1.98336,3444.74
TR-000018,2415.59,2363.22,1706,1,0,0,40439,0.99368,1.88236,3238.08
TR-000019,2373.98,2437.61,698.5,1,0,0,31643,0.99684,2.06177,1441.82
TR-000020,2405.2,2360.34,108.2,1,0,0,32629,0.9355,2.79934,305.7
TR-000021,2371.44,2422.44,158,1,0,0,39459,0.95736,2.67125,418.21
TR-000022,2384.81,2379.67,1558.9,1,0,0,29423,0.93608,1.80988,2825.86
TR-000023,2405.63,2364.24,262.8,1,0,0,26525,0.94602,2.34816,616.12
TR-000024,2422.44,2324.76,448.9,0,1,0,34499,0.96703,2.32362,1060.95
TR-000025,2319.61,2399.97,521.5,0,1,0,35656,0.96458,2.26927,1176.88
TR-000026,2363.52,2360.48,934.2,1,0,0,34631,0.92552,1.89156,1765.95
TR-000027,2362.9,2332,1634.9,1,0,0,29903,0.97422,1.79577,2952.29
TR-000028,2379.67,2415.59,446.4,0,1,0,26877,0.9559,2.39227,1056.36
TR-000029,2364.24,2421.42,1001.4,1,0,0,41701,0.97068,2.03186,2029.09
TR-000030,2340.21,2437.61,735.4,1,0,0,21847,0.95146,1.8929,1399.93
TR-000031,2400.16,2381.28,1884.4,0,1,0,13936,0.92938,1.85496,3486.57
TR-000032,2376.18,2381.28,1367.9,0,1,0,40312,0.96037,2.05509,2772.52
TR-000033,2391.87,2287.47,944.9,1,0,0,46853,0.91635,2.04256,1904.87
TR-000034,2341.75,2435.65,839.5,1,0,0,24666,0.98045,1.84874,1549.61
TR-000035,2278.07,2287.47,1256,0,0,1,30848,0.97089,2.16484,2719.33
TR-000036,2345.88,2341.75,334.1,0,1,0,34583,0.96019,2.44821,796.1
TR-000037,2352.86,2347.42,1379.2,1,0,0,21636,0.9765,1.78056,2472.76
TR-000038,2341.75,2437.61,2442.7,0,0,1,31363,0.94653,1.99917,4817.75
TR-000039,2347.42,2363.22,2021.3,0,0,1,32812,0.92008,1.9493,3894.56
TR-000040,2372.39,2371.44,172.7,1,0,0,31783,0.95,2.60873,449.07
TR-000041,2287.47,2278.07,1222.2,0,1,0,25307,0.96151,2.03905,2502.44
TR-000042,2352.86,2422.44,1213.7,1,0,0,20944,0.96943,1.87873,2248.54
TR-000043,2362.03,2368.14,3112,1,0,0,35002,0.98359,1.66979,5224.69
TR-000044,2287.47,2352.86,860.9,0,1,0,32386,0.98031,2.19706,1902.94
TR-000045,2287.47,2337.42,485.1,0,1,0,27962,0.94939,2.27353,1113.14
TR-000046,2405.63,2362.9,732.4,1,0,0,42826,0.9817,2.07592,1541.79
TR-000047,2381.28,2330.56,1660.7,1,0,0,20285,0.99184,1.74529,2928.34
TR-000048,2319.61,2341.75,391.5,0,0,1,25462,0.99683,2.32544,910.3
TR-000049,2362.03,2371.44,2215.4,1,0,0,19808,0.97205,1.71776,3854.54
TR-000050,2400.16,2292.95,583.4,1,0,0,29231,0.94993,2.02412,1186.14
TR-000051,2400.16,2347.42,2202.5,0,0,1,26740,1.00748,1.86794,1243.45
TR-000052,2363.22,2324.76,1922.3,1,0,0,37974,0.95147,1.87015,3658.56
TR-000053,2371.44,2379.67,850.1,0,1,0,29378,0.97926,2.19713,1880.38
TR-000054,2364.24,2417.11,820.5,0,0,1,31258,0.94182,2.14485,1746.08
TR-000055,2324.76,2352.86,1115.7,0,1,0,34898,0.96116,2.20553,2450.11
TR-000056,2399.97,2405.63,535.7,1,0,0,39940,0.92898,2.17025,1162.69
TR-000057,2343.52,2384.81,384.5,1,0,0,31152,0.9898,2.20655,852.26
TR-000058,2435.65,2343.52,257.6,1,0,0,29629,0.90791,2.27029,590.92
TR-000059,2436.78,2415.37,2241.4,1,0,0,25023,0.99378,1.71101,3778.31
TR-000060,2371.34,2417.11,427.1,1,0,0,29786,0.95158,1.98245,854.44
TR-000061,2360.37,2373.98,2230.8,0,0,1,30600,0.97254,2.01387,4429.51
TR-000062,2421.42,2381.78,1036.6,1,0,0,39027,0.95409,2.07287,2135.04
TR-000063,2384.81,2360.37,723.7,0,0,1,42496,0.91712,2.27078,1636.94
TR-000064,2399.97,2363.52,531.9,0,1,0,27883,0.96161,2.21539,1184.07
TR-000065,2391.87,2405.63,542.5,1,0,0,37842,0.95371,2.15956,1153.3
TR-000066,2352.86,2371.34,2216.1,0,1,0,35142,0.91661,1.88952,4249.82
TR-000067,2391.87,2495.5,276.7,1,0,0,33346,0.98371,2.39449,670.26
TR-000068,2268.79,2372.39,285,0,0,1,43894,0.97958,2.70783,776.42
TR-000069,2352.86,2285.72,1334.2,0,0,1,-36559,0.96102,2.11777,2831.27
TR-000070,2417.11,2324.76,1186.8,1,0,0,34917,0.96357,1.8745,2241.89
TR-000071,2417.11,2372.39,1125,1,0,0,22549,0.94539,1.77859,2002.77
TR-000072,2381.28,2319.61,905.3,1,0,0,29801,0.95616,1.88236,1688.09
TR-000073,2381.78,2386.75,473.7,0,1,0,40638,0.98251,2.32082,1103.83
TR-000074,2341.23,2398.95,535.4,0,1,0,36443,0.96644,2.37161,1278.27
TR-000075,2384.81,2304.9,334.9,0,0,1,21489,0.93667,2.34941,776.98
TR-000076,2371.34,2415.37,3099.1,0,0,1,35906,0.94623,1.92298,5893.49
TR-000077,2352.86,2436.78,1396.3,1,0,0,25324,0.93672,1.89251,2606.32
TR-000078,2400.16,2360.34,1326.6,1,0,0,38488,0.97992,1.92033,2567.5
TR-000079,2372.39,2436.78,672.3,1,0,0,44567,1.01366,2.03562,1373.98
TR-000080,2415.37,2405.2,1160.6,0,0,1,30337,0.93552,2.2372,2528.8
TR-000081,2381.78,2415.59,633.4,1,0,0,31043,0.97351,2.07694,1301.69
TR-000082,2300.56,2435.25,683.7,1,0,0,38951,0.96588,2.13514,1445.84
TR-000083,2437.61,2360.37,1715.2,1,0,0,31632,0.99816,1.90586,3216.39
TR-000084,2300.56,2402.48,1222.2,0,1,0,32978,0.96522,2.06826,2545.75
TR-000085,2495.5,2362.9,696.4,0,1,0,37157,0.98049,2.19213,1519.74
TR-000086,2360.48,2287.47,1431.4,0,1,0,31670,0.92804,2.00728,2885.28
TR-000087,2360.48,2372.39,1132.8,1,0,0,47500,0.94525,1.89016,2161.53
TR-000088,2428.65,2332,2172.8,0,1,0,25967,0.93351,1.89635,4115.45
TR-000089,2363.52,2379.67,877,0,1,0,27136,0.94449,2.15458,1895.72
TR-000090,2360.34,2300.56,1521.2,0,1,0,32586,0.97946,2.05677,3092.37
TR-000091,2415.37,2381.28,1858.6,0,0,1,28040,0.93089,2.00288,3742.3
TR-000092,2379.67,2347.42,1220.1,0,0,1,37380,0.93701,2.17411,2650.56
TR-000093,2364.24,2287.47,749.7,1,0,0,23380,0.95581,2.04041,1537.18
TR-000094,2337.42,2381.78,691.7,1,0,0,47500,0.9531,2.16789,1479.61
TR-000095,2341.75,2391.87,1098,1,0,0,29071,0.96395,1.81827,1991.87
TR-000096,2341.75,2343.52,684.1,1,0,0,25756,0.92209,1.9037,1297.4
TR-000097,2400.16,2373.98,891.6,1,0,0,21332,0.97336,1.78958,1599.62
TR-000098,2304.9,2364.24,539.5,1,0,0,38735,1.00245,2.07669,1112.96
TR-000099,2384.81,2360.34,1607.8,1,0,0,44058,0.96621,1.90264,3072.03
TR-000100,2495.5,2368.14,932.8,1,0,0,37005,0.99201,1.90185,1792.75
TR-000101,2379.67,2422.44,900.3,0,0,1,42482,0.93478,2.3092,2101.86
TR-000102,2368.14,2402.48,1556.3,0,1,0,28505,0.92364,1.93531,3007.13
TR-000103,2379.67,2287.47,418,1,0,0,31909,0.94122,2.33556,970.69
TR-000104,2287.47,2371.44,523.3,1,0,0,17804,0.95108,2.0574,1074.67
TR-000105,2379.67,2422.44,929.3,1,0,0,30918,0.96079,1.91336,1792.83
TR-000106,2363.22,2381.78,1901.5,1,0,0,31374,0.93499,1.81931,3407.03
TR-000107,2360.34,2399.97,1266,0,1,0,20678,0.98745,1.99624,2498.9
TR-000108,2417.11,2327.6,1085.4,1,0,0,15712,0.95874,1.78353,1958.1
TR-000109,2428.65,2360.48,241.1,0,1,0,22072,0.98321,2.31708,567.3
TR-000110,2391.87,2360.34,1119.1,1,0,0,33741,1.00244,1.92067,2167.51
TR-000111,2428.65,2384.81,473.8,1,0,0,30788,0.97095,2.10268,996.02
TR-000112,2381.28,2324.76,627.1,1,0,0,26684,0.96597,2.06245,1291.45
TR-000113,2362.03,2398.95,1962.4,1,0,0,33505,0.99212,1.88256,3677.5
TR-000114,2368.14,2371.44,937.7,1,0,0,28250,0.92946,1.8857,1761.28
TR-000115,2402.48,2347.42,1191.6,1,0,0,38567,0.97407,1.97377,2296.78
TR-000116,2415.59,2337.42,445.7,1,0,0,47500,0.92243,2.27821,1009.42
TR-000117,2372.39,2399.97,533.8,0,0,1,30570,,2.37177,1271.1
TR-000118,2384.81,2278.07,2223.2,1,0,0,38009,0.9865,1.80907,4091.87
TR-000119,2405.63,2363.22,1894.5,0,0,1,24375,0.96913,1.97575,3765.28
TR-000120,2285.72,2402.48,963.4,1,0,0,26618,0.94999,1.92845,1825.93
TR-000121,2372.24,2332,1511.9,1,0,0,33797,0.97495,1.89226,2863.32
TR-000122,2304.9,2386.75,552.3,1,0,0,35867,0.95018,2.08522,1156.13
TR-000123,2363.52,2398.95,460.8,1,0,0,44437,0.92194,2.34272,1093.37
TR-000124,2304.9,2363.22,2564.4,1,0,0,33614,0.9793,1.70479,4397.38
TR-000125,2340.21,2341.23,2252.6,0,0,1,19108,0.9799,1.95172,4397.69
TR-000126,2340.21,2384.81,2835.2,1,0,0,27463,0.91179,1.72674,4811.93
TR-000127,2381.78,2428.65,1206.8,0,0,1,36158,0.95648,2.08024,2519.12
TR-000128,2421.42,2386.75,1079.3,1,0,0,15890,0.98608,1.86781,2017.91
TR-000129,2373.98,2371.34,2809.6,0,1,0,30262,0.96455,1.76744,4980.36
TR-000130,2341.75,2347.32,1571.7,1,0,0,36231,0.93688,1.84064,2899.99
TR-000131,2371.44,2330.21,1830,0,1,0,35777,0.98052,2.00431,3676.73
TR-000132,2371.34,2352.86,2251.7,1,0,0,37379,1.00028,1.76503,3982.15
TR-000133,2337.42,2287.47,483.5,1,0,0,9938,0.96622,2.12751,1036.79
TR-000134,2286.31,2371.44,584.1,1,0,0,32780,0.97719,2.12836,1243.16
TR-000135,2345.35,2319.61,485,1,0,0,31513,0.955,1.94477,936.02
TR-000136,2343.52,2332,1397.4,1,0,0,19108,0.93388,1.80121,2523.62
TR-000137,2364.24,2278.07,1665.7,1,0,0,32421,0.9722,1.79777,3022.64
TR-000138,2287.47,2384.81,1218.8,0,0,1,41299,0.97996,2.15229,2670.36
TR-000139,2371.34,2371.44,1233.6,1,0,0,31111,0.99608,1.80726,2239.61
TR-000140,2495.5,2360.34,988.9,1,0,0,45122,0.99822,2.01772,2008.09
TR-000141,2360.34,2337.42,897.3,0,1,0,34157,0.89719,2.23327,1992.97
TR-000142,2341.75,2376.18,269.9,1,0,0,38619,0.99213,2.38586,650.01
TR-000143,2415.37,2371.44,2021.2,0,0,1,28169,0.92737,1.94607,3948.54
TR-000144,2287.47,2417.11,1468.2,0,1,0,24667,0.92915,1.95359,2830.86
TR-000145,2371.44,2337.42,330.7,1,0,0,38874,0.95229,2.29168,759.7
TR-000146,2399.97,2363.22,2147.1,0,0,1,24604,0.99158,1.97249,4249.43
TR-000147,2337.42,2391.87,858.7,1,0,0,21564,0.95901,1.90021,1631.14
TR-000148,2421.42,2347.42,1344.8,1,0,0,29019,0.95407,1.85227,2489.37
TR-000149,2428.65,2360.48,230.1,1,0,0,26650,1.01393,2.34335,540.61
TR-000150,2363.52,2268.79,143.7,1,0,0,29353,0.97156,2.60022,375.65
TR-000151,2386.75,2345.35,518,0,0,1,8769,0.9771,2.14691,1122.09
TR-000152,2415.37,2352.86,889.1,1,0,0,39182,1.03335,2.06501,1831.73
TR-000153,2376.18,2360.37,1091.1,1,0,0,43148,0.99375,1.98481,2160.43
TR-000154,2435.65,2422.44,321,0,0,1,25053,0.99591,2.51728,796.52
TR-000155,2300.56,2381.78,801.4,1,0,0,30091,1.00702,1.97066,1568.58
TR-000156,2415.59,2415.37,1644.7,0,0,1,39709,0.99885,2.20899,3626.94
TR-000157,2372.39,2435.65,440.5,0,0,1,37021,1.01604,2.55621,1110.96
TR-000158,2428.65,2384.81,465.3,0,0,1,29498,0.97866,2.33862,1084.95
TR-000159,2364.24,2363.22,2093.2,0,0,1,29140,0.9799,2.0447,4281.56
TR-000160,2347.32,2332,454.9,1,0,0,27059,0.97035,2.27961,1049.01
TR-000161,2337.42,2435.65,347.1,0,0,1,28738,1.00469,2.45605,864.12
TR-000162,2285.72,2376.18,1058.8,0,1,0,29404,0.97097,2.06627,2176.18
TR-000163,2324.52,2330.21,2109.2,0,1,0,25298,1.02179,1.87547,3974.6
TR-000164,2345.88,2376.18,514.7,1,0,0,37252,0.97236,2.16074,1101.34
TR-000165,2304.9,2371.34,492.5,1,0,0,36080,1.00977,2.05898,1019.74
TR-000166,2278.07,2405.2,813,1,0,0,20966,1.0052,1.97862,1619.25
TR-000167,2399.97,2371.44,509.8,1,0,0,36718,0.94601,2.17352,1099.68
TR-000168,2417.11,2405.63,1041.8,1,0,0,18384,1.01045,1.76907,1838.14
TR-000169,2402.48,2287.47,151.9,0,1,0,19055,1.02282,2.70847,414.27
TR-000170,2373.98,2364.24,2132,0,0,1,36104,0.96721,1.92123,4085.74
TR-000171,2371.34,2384.81,578.9,0,1,0,15212,0.92791,2.00872,1163.92
TR-000172,2421.42,2287.47,292.8,0,1,0,22437,0.93838,2.48919,732.99
TR-000173,2405.63,2368.14,1008.1,1,0,0,29599,0.97056,1.84219,1842.16
TR-000174,2379.67,2340.21,1462.3,1,0,0,37666,0.97591,1.9251,2829.37
TR-000175,2371.44,2332,986.9,1,0,0,26942,1.00497,2.03862,2022.95
TR-000176,2341.75,2400.16,3109.8,0,0,1,40154,0.9733,2.01059,6180.45
TR-000177,2363.52,2278.07,1610.2,1,0,0,45956,0.95031,1.8724,3020.5
TR-000178,2360.34,2362.9,1555.6,1,0,0,30377,0.99485,1.78958,2796.9
TR-000179,2381.78,2304.9,642.9,0,1,0,21799,0.9781,2.04911,1334.44
TR-000180,2398.95,2422.44,520.7,1,0,0,26480,0.97076,2.04795,1071.27
TR-000181,2399.97,2287.47,1018.4,1,0,0,24438,0.98873,1.87155,1929.85
TR-000182,2422.44,2363.22,1948.5,0,0,1,24768,0.97868,2.02939,3949.71
TR-000183,2347.32,2292.95,1247.1,1,0,0,34675,0.96455,1.952,2391.86
TR-000184,2300.56,2363.22,2602.9,0,1,0,16985,0.99977,1.76886,4563.85
TR-000185,2341.75,2417.11,70,1,0,0,26701,0.97988,2.63111,184.55
TR-000186,2340.21,2319.61,2769,1,0,0,41088,0.99685,1.70715,4773.15
TR-000187,2341.75,2379.67,1849.3,0,1,0,32067,1.00156,1.96628,3665.54
TR-000188,2363.52,2362.03,2313.5,1,0,0,31130,0.95491,1.77997,4117.48
TR-000189,2324.76,2371.34,1449.7,1,0,0,43315,0.95753,1.88298,2737.41
TR-000190,2428.65,2415.59,1579.7,0,0,1,40041,0.96953,2.18692,3439.65
TR-000191,2341.23,2381.78,919.8,1,0,0,33053,1.01568,1.95414,704.89
TR-000192,2415.37,2405.63,1954.3,0,1,0,35284,0.99763,2.04063,3930.73
TR-000193,2422.44,2360.37,457.9,1,0,0,32654,1.00423,2.21916,1020.9
TR-000194,2371.34,2343.52,948.4,1,0,0,41750,0.97978,1.90312,1803.38
TR-000195,2332,2268.79,948,1,0,0,17800,0.99774,1.90675,1847.23
