load_id,pickup,delivery,distance,D,F,R,weight,market_index,quote_signal
TE-000001,2287.469184,2323.32636,331.4,0,1,0,19958,0.90402,1.86388
TE-000002,2324.519959,2335.521141,2406.2,0,0,1,34114,0.92851,1.8624
TE-000003,2362.030533,2258.60468,2846.6,1,0,0,33435,0.88117,1.9548
TE-000004,2285.719116,2335.521141,2261.6,1,0,0,25392,0.89156,2.14579
TE-000005,2372.392688,2438.853011,800.4,0,1,0,,0.88308,2.22541
TE-000006,2435.651745,2381.27122,2405.4,1,0,0,26124,0.86615,2.19932
TE-000007,2300.557875,2344.086786,2646.5,0,0,1,26069,0.91528,2.2468
TE-000008,2360.343076,2499.984463,1448.6,1,0,0,28194,0.93007,2.2059
TE-000009,2364.243526,2332.539852,482.9,1,0,0,39674,0.93645,2.00931
TE-000010,0,2314.56563,534.4,1,0,0,22086,0.88997,1.71182
TE-000011,2384.808275,2381.27122,2872,0,0,1,44971,0.86978,1.70972
TE-000012,2268.785714,2420.506514,1014.8,1,0,0,33154,0.92783,2.15298
TE-000013,2405.630936,2440.931345,413.7,1,0,0,31030,0.87879,1.90845
TE-000014,2319.611823,2376.58651,644.9,1,0,0,26250,0.90772,2.19457
TE-000015,2386.745584,2440.931345,218,0,0,1,40841,0.96646,1.94553
TE-000016,2381.780508,2360.440814,656.1,0,1,0,37098,0.93896,2.06351
TE-000017,2324.519959,2409.861852,886.9,1,0,0,36584,0.89748,2.68128
TE-000018,2417.105175,2360.440814,1356.4,1,0,0,16446,0.92972,1.64402
TE-000019,2363.517172,0,404,1,0,0,32814,0.88144,2.11995
TE-000020,2495.500445,2392.271247,618,1,0,0,44909,0.90201,1.86683
TE-000021,2415.371339,0,2376.3,0,0,1,,0.86746,1.90829
TE-000022,2422.435157,2396.610566,680.3,1,0,0,22733,0.89799,1.98043
TE-000023,2400.164778,2418.125559,2243,1,0,0,43619,0.87847,2.06342
TE-000024,2287.469184,2393.860138,1678.3,1,0,0,25547,0.90995,2.31636
TE-000025,2372.392688,2365.846109,440.2,1,0,0,40074,0.90578,2.16057
TE-000026,2376.175448,2343.268614,1052.3,1,0,0,15825,0.83645,2.09472
TE-000027,2495.500445,2319.803941,302.8,0,1,0,27755,0.90036,2.33729
TE-000028,2324.519959,2478.807647,535.2,1,0,0,42389,0.91938,1.61278
TE-000029,2364.243526,2338.426828,600.8,0,0,1,40639,0.89649,2.15742
TE-000030,2384.808275,2335.521141,2737.5,1,0,0,47367,0.85126,2.06088
TE-000031,2343.524375,2300.372527,2556.5,1,0,0,21905,0.90368,2.24307
TE-000032,2352.858014,2431.125135,703.5,1,0,0,37685,0.87531,1.81474
TE-000033,2386.745584,2320.498273,270.4,1,0,0,35562,0.90732,2.23583
TE-000034,2391.87245,2333.621217,216.1,0,1,0,46283,0.90805,2.26026
TE-000035,2379.670669,2314.56563,1081.3,0,1,0,22653,0.90589,2.01266
TE-000036,2421.419866,2361.203303,918.7,1,0,0,35645,0.85339,2.08511
TE-000037,2435.651745,2396.610566,747.6,1,0,0,24765,0.90654,1.96995
TE-000038,2415.371339,2319.338213,1946.5,1,0,0,24154,0.90167,1.67774
TE-000039,2384.808275,2338.426828,1108.3,1,0,0,30251,0.87409,2.11599
TE-000040,2372.242708,2393.860138,2243.9,1,0,0,29399,0.91395,1.53735
TE-000041,2435.24564,2338.426828,512.3,0,1,0,26243,0.89677,1.77375
TE-000042,2381.275964,2335.521141,1921.7,1,0,0,43561,0.92709,2.56708
TE-000043,2285.719116,2423.152774,375.2,0,1,0,40584,0.9283,1.86162
TE-000044,2379.670669,2333.621217,765.6,1,0,0,32107,0.84822,2.0625
TE-000045,2360.369685,2451.387059,678.8,1,0,0,32766,0.90058,1.97843
TE-000046,2341.754674,2570.85934,1063.5,0,1,0,15362,0.84786,2.35554
TE-000047,2379.670669,2401.643216,816.6,1,0,0,33000,0.90874,2.30808
TE-000048,2368.143591,2343.25078,190.3,1,0,0,28483,0.9089,2.11303
TE-000049,2363.220922,2431.125135,1500.2,0,0,1,35625,0.88656,1.97712
TE-000050,0,2344.086786,2766.4,1,0,0,38756,0.88626,2.14804
TE-000051,2400.164778,2381.27122,452.2,0,1,0,42775,0.90158,1.93814
TE-000052,2287.469184,2343.25078,1454.7,1,0,0,45087,0.89586,2.30321
TE-000053,2363.220922,2295.4675,1836.2,0,0,1,21360,0.93023,2.27751
TE-000054,2421.419866,2343.268614,1267.3,1,0,0,31995,0.87475,2.01549
TE-000055,2304.903794,2478.807647,338.3,1,0,0,24198,0.92438,2.16167
TE-000056,2324.519959,2409.861852,918.1,1,0,0,32195,0.86641,1.7953
TE-000057,2341.228856,2350.789479,550.1,1,0,0,27935,0.92653,1.86284
TE-000058,2363.220922,2314.794916,2844.5,0,0,1,27656,0.94074,1.76792
TE-000059,2347.421012,2350.789479,771.7,0,0,1,37190,0.96328,1.88345
TE-000060,2402.475076,2418.125559,1177.4,0,1,0,25722,0.89819,2.14803
TE-000061,2391.87245,2449.516032,794.5,1,0,0,44462,0.87001,2.17397
TE-000062,2368.143591,2418.125559,804.7,1,0,0,23795,0.95965,2.45311
TE-000063,2371.33693,2288.001041,370.5,0,1,0,25330,0.89427,2.17488
TE-000064,2278.068216,2300.372527,731.7,1,0,0,35593,0.9239,2.28073
TE-000065,2398.948371,2401.643216,1230.1,1,0,0,30690,0.89568,1.74507
TE-000066,0,2342.508207,904.1,0,1,0,25459,0.92441,1.85936
TE-000067,2345.354121,2395.681045,1209.6,1,0,0,35326,0.90087,1.83308
TE-000068,2371.33693,2319.338213,1252.2,0,1,0,46343,0.91102,2.24417
TE-000069,2391.87245,2438.853011,1189.6,1,0,0,31450,0.88728,2.29196
TE-000070,2330.211578,0,1478.3,1,0,0,29278,0.91692,2.01194
TE-000071,2421.419866,2499.984463,1438.4,1,0,0,24269,0.9339,2.00232
TE-000072,2415.371339,2436.060765,2690,1,0,0,34388,0.86483,2.14524
TE-000073,2364.243526,2365.846109,465.4,0,0,1,35361,0.93451,1.6791
TE-000074,2268.785714,2314.794916,1008.9,1,0,0,47500,0.92819,2.22456
TE-000075,2278.068216,2350.789479,1609.6,1,0,0,34745,0.87151,1.69774
TE-000076,2373.978362,2440.155246,1934,1,0,0,25494,0.86439,2.59682
TE-000077,2287.469184,2418.125559,1132.3,1,0,0,28533,0.94252,1.92481
TE-000078,2384.808275,2435.903949,1021.4,1,0,0,31673,0.91394,2.08452
TE-000079,2368.143591,2365.846109,1043.3,0,1,0,23014,0.88679,1.88726
TE-000080,2386.745584,2358.454781,1253.2,1,0,0,35380,0.94403,2.05324
